date,raw_date,total,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC
2026-08-19,19 Aug 2026,517.2,284.7,62.4,35.6,77.7,0.0,5.9,0.0,0.0,0.0,10.0,21.2,19.7
2026-08-20,20 Aug 2026,606.3,503.0,64.7,26.4,12.2,3.6,0.0,0.0,-3.6,0.0,0.0,0.0,0.0
2026-08-21,21 Aug 2026,307.5,239.3,30.2,9.2,3.1,0.0,0.0,0.0,4.4,0.0,7.7,0.0,13.6
2026-08-24,24 Aug 2026,337.6,208.9,104.6,3.0,0.0,0.0,0.0,0.0,3.3,0.0,1.4,0.0,16.4
2026-08-25,25 Aug 2026,314.3,284.4,15.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,7.0
2026-08-26,26 Aug 2026,232.2,200.8,25.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-50.4,46.8
2026-08-27,27 Aug 2026,242.3,277.6,-83.6,21.7,29.7,0.0,0.0,0.0,5.7,0.0,6.7,-27.2,11.7
2026-08-28,28 Aug 2026,-201.9,-33.4,0.0,-49.7,-114.9,0.0,0.0,0.0,-13.2,0.0,9.3,0.0,0.0
2026-08-31,31 Aug 2026,216.7,205.9,6.9,4.3,0.0,0.0,0.0,0.0,-13.4,0.0,3.6,0.0,9.4
2026-09-01,01 Sep 2026,-236.5,-201.2,-43.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-02,02 Sep 2026,101.1,115.4,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,7.3,-56.2,30.4
2026-09-03,03 Sep 2026,730.8,454.0,74.4,24.8,137.7,0.0,0.0,0.0,-19.6,-5.2,7.7,8.2,48.8
2026-09-04,04 Sep 2026,174.6,117.4,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
